#Date:2022-06-25 16:22:22
#Class:methylRawDB
#DT:tabix
#SI:PEsample_wgbs.deduped_CpG
#AS:hg19
#CT:CpG
#RS:base
#NR:61
#DT:tabix
chr1	6299	6299	-	11	1	10
chr1	6346	6346	+	12	8	4
chr1	6347	6347	-	12	8	4
chr1	6358	6358	+	12	10	2
chr1	6359	6359	-	11	9	2
chr1	6550	6550	+	10	3	7
chr1	6551	6551	-	12	4	8
chr1	6688	6688	+	15	2	13
chr1	6689	6689	-	13	4	9
chr1	6744	6744	+	16	1	15
chr1	6745	6745	-	10	0	10
chr1	6809	6809	+	15	0	15
chr1	6810	6810	-	10	0	10
chr1	6842	6842	+	18	7	11
chr1	6977	6977	+	14	5	9
chr1	6992	6992	+	13	5	8
chr1	7176	7176	+	12	2	10
chr1	7281	7281	-	11	10	1
chr1	7312	7312	-	10	6	4
chr1	7328	7328	-	10	4	6
chr1	7547	7547	-	10	2	8
chr1	7645	7645	-	12	6	6
chr1	7662	7662	-	12	7	5
chr1	7668	7668	-	12	11	1
chr1	7720	7720	-	10	10	0
chr1	8175	8175	-	11	7	4
chr1	8198	8198	+	10	1	9
chr1	8199	8199	-	13	4	9
chr1	8233	8233	+	11	7	4
chr1	8234	8234	-	17	13	4
chr1	8273	8273	-	19	15	4
chr1	8306	8306	-	17	12	5
chr1	8571	8571	-	13	12	1
chr1	8600	8600	-	13	13	0
chr1	8609	8609	-	13	13	0
chr1	8627	8627	-	12	11	1
chr1	8637	8637	-	10	4	6
chr1	8764	8764	+	10	8	2
chr1	8845	8845	+	13	13	0
chr1	9044	9044	+	12	12	0
chr1	9154	9154	+	11	8	3
chr1	9247	9247	+	13	12	1
chr1	9261	9261	+	12	12	0
chr1	9307	9307	+	10	10	0
chr1	9390	9390	+	10	9	1
chr1	9391	9391	-	11	10	1
chr1	9744	9744	-	10	5	5
chr1	9907	9907	+	14	13	1
chr1	9999	9999	+	11	11	0
chr1	10045	10045	+	10	10	0
chr1	10075	10075	-	11	6	5
chr1	10127	10127	-	15	15	0
chr1	10255	10255	+	10	9	1
chr1	10256	10256	-	19	18	1
chr1	10364	10364	-	15	15	0
chr1	10385	10385	+	12	12	0
chr1	10386	10386	-	13	13	0
chr1	10445	10445	+	13	13	0
chr1	10446	10446	-	10	9	1
chr1	10511	10511	+	17	15	2
chr1	10512	10512	-	13	13	0
