#Date:2022-06-25 16:20:16
#Class:methylRawDB
#DT:tabix
#SI:SEsample_se_bt2.sorted.deduped_cpg
#AS:hg19
#CT:CpG
#RS:base
#NR:27
#DT:tabix
chr1	6052	6052	+	11	3	8
chr1	6809	6809	+	10	2	8
chr1	6810	6810	-	10	4	6
chr1	6842	6842	+	11	9	2
chr1	6977	6977	+	14	11	3
chr1	6978	6978	-	10	9	1
chr1	6992	6992	+	12	10	2
chr1	6993	6993	-	11	10	1
chr1	7177	7177	-	15	14	1
chr1	7229	7229	-	14	12	2
chr1	7523	7523	-	14	11	3
chr1	7547	7547	-	14	11	3
chr1	7645	7645	-	12	1	11
chr1	7886	7886	-	10	2	8
chr1	8272	8272	+	10	3	7
chr1	8273	8273	-	10	2	8
chr1	8306	8306	-	12	5	7
chr1	8571	8571	-	10	7	3
chr1	8627	8627	-	10	3	7
chr1	8846	8846	-	10	8	2
chr1	9908	9908	-	11	8	3
chr1	10046	10046	-	10	10	0
chr1	10075	10075	-	12	12	0
chr1	10127	10127	-	11	9	2
chr1	10363	10363	+	17	16	1
chr1	10385	10385	+	17	17	0
chr1	10445	10445	+	16	16	0
